smiles,BBBP,group
CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,0,training
COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5,1,training
C[C@H]1C[C@@H](OC(=O)C2CCC(=O)N2)CC(C)(C)C1,1,training
COc1ccc(CC(N)C(=O)NC2[C@@H](O)[C@H](n3cnc4c(N(C)C)ncnc43)O[C@@H]2CO)cc1,0,training
CC(C)NNC(=O)c1ccncc1,1,training
CCC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,1,training
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](Cl)C4=CC(=O)C=C[C@]4(C)C3C(=O)C[C@@]21C,1,training
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,0,training
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2C3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,0,training
Cc1ccccc1-n1c(C=Cc2ccccn2)nc2ccccc2c1=O,1,training
CCCN(CCC)CCc1cccc2[nH]c(O)cc12,1,training
CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,1,training
CCCC(C(=O)N=C1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1csc(N)n1,0,training
COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NN=C(C)C2,1,training
OCC1(CO)COC(C(Cl)(Cl)Cl)OC1,1,training
Cc1ccc(CC2=CN=C(NCCSCc3ccc(CN(C)C)o3)NC2)cn1,0,training
CN(C(=O)Cc1ccccc1N)[C@@H](CN1CC[C@@H](O)C1)c1ccccc1,0,training
C[C@@]1(Cn2ccnn2)C(C(=O)O)N2C(=O)C[C@@H]2S1(=O)=O,0,training
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(CN)CCC3N)C2O)OCC1(C)O,0,training
CNCCCC1(C)CN(c2ccccc2)c2ccccc21,1,training
c1ccc2oc(-c3ccncc3)cc2c1,1,training
CNCCC(Oc1cccc2ccccc12)c1cccs1,1,training
CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0,training
C[C@@H]1CC2C3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,1,training
NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,1,training
CCCCCCCC(=O)OC[C@@H](O)[C@@H](OC)[C@H]1OC(C(=O)O)=C[C@H](N=C([N])N)[C@@H]1NC(C)=O,0,training
CC12C=CC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,1,training
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,training
COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,0,training
C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,1,training
CC(C)C(=O)OCc1cccc(OC(=O)C2N3C(=O)C(NC(=O)Cc4ccccc4)[C@H]3SC2(C)C)c1,0,training
CCCOc1ccc(S(=O)(=O)NCC[C@@H]2CCCN2C)cc1-c1nc(=O)c2c([nH]1)c(CCC)nn2C,0,training
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,1,training
CC(=O)C1(N)C=C2C(=O)c3c(c(O)c4ccccc4c3O)C(=O)C2C(OC2CC(O)C(O)CO2)C1,0,training
O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1,1,training
NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccc(Cl)cc32)CC1,1,training
CCS[C@]1(SC)CC[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,training
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC=C4CC(=O)C=CC4(C)[C@@]3(Cl)C(Cl)CC21C,1,training
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1,1,training
C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0,training
COC1CC(O[C@@H]2C(C)C(=O)O[C@H](C)[C@H](C)[C@H](O)C(C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](OC3OC(C)CC(N(C)C)C3O)[C@H]2C)OC(C)C1O,0,training
Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,1,training
CCCCc1n[n+](Cc2ccc(-c3ccccc3-c3nnn[n-]3)nc2)c(CCCC)[nH]1,0,training
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,1,training
Oc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@H](C2)[C@@H]1CCOC3,1,training
COc1ccnc(C[S+]([O-])c2nc3cc(-n4cccc4)ccc3[nH]2)c1C,0,training
CN=C(NC#N)NCCSCc1[nH]cnc1C,0,training
Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C,1,training
Clc1ccc2c(c1)/C(=C/C1CN3CCC1CC3)c1ccccc1S2,1,training
CCC(Br)(CC)C(=O)NC(N)=O,1,training
Cc1nn(C)c2c1C(c1cccc(Cl)c1)=NCCN2,1,training
CC1c2ccccc2C(CCCN(C)C)c2cc(C(F)(F)F)ccc21,1,training
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0,training
CCN(CC)/C(C)=N/N=Cc1c2c(O)c3c(O)c(C)c4c(c3c1O)C(=O)[C@@](C)(O/C=C\[C@H](OC)[C@@H](C)[C@@H](OC(C)=O)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)C(C)=CC=CC(C)C(=O)N2)O4,0,training
CSc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)cc1,0,training
N#C[C@H](O[C@@H]1O[C@@H](CO[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O)c1ccccc1,0,training
CCCCCC(=O)OCC(=O)C1[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@@]21C,1,training
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@H]1N2C,1,training
C[C@H](N)[C@H](O)c1cccc(O)c1,0,training
CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,1,training
CCCCC(=O)OC1(C(=O)CO)CCC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1,training
O=C(Oc1ccc(Cl)cc1)N1CCCC1,1,training
NCC(CS(=O)(=O)O)c1ccc(Cl)cc1,1,training
O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,1,training
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1C3CC(C#N)=C4C=C(OCCCl)CCC4(C)[C@@]3(F)C(O)CC12C,1,training
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,0,training
CSC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C,1,training
CN1CCN(C2=Cc3cc(Cl)ccc3/C(=C/C#N)c3ccccc32)CC1,1,training
N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,0,training
NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0,training
NCCCN1c2ccccc2CCc2ccccc21,1,training
O=C(O)c1cc(=O)c2ccccc2o1,1,training
CC(C)NC([N])=NC(=N)Nc1ccc(Cl)cc1,0,training
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,0,training
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0,training
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,1,training
Cn1c(=O)c2c(ncn2CCN2CCC(c3c[nH]c4ccccc34)CC2)n(C)c1=O,1,training
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@H]2O[C@@H](C)[C@H](O)[C@@H](N)[C@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)C2C(=O)O,0,training
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@@H]3CC[C@@]21C,1,training
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,1,training
CCN(CC)CC(=O)Nc1c(C)cccc1C,1,training
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,0,training
CC1(C)SC2C(NC(=O)CCCC(N)C(=O)O)C(=O)N2C1C(=O)O,0,training
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,1,training
CC12CC3CC(C)(C1)CC(N)(C3)C2,1,training
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,0,training
CC(C)C[C@H](CN)CC(=O)O,1,training
CC1(C)S[C@@H]2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)OCOC(=O)C1N2C(=O)C[C@H]2S(=O)(=O)C1(C)C,0,training
CN1CC=C(c2ccccc2)CC1,1,training
CC(c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0,training
CC(=O)O[C@H]1C[C@@H]2C(COC(=O)CC(C)C)=CO[C@@H](OC(=O)CC(C)C)[C@@H]2[C@@]12CO2,1,training
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)NCCCC2,1,training
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)C[S+]([O-])C12)c1csc(N)n1,0,training
C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0,training
CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,0,training
C=CCC1(C(C)CCCC)C(=O)NC(=O)N(C)C1=O,0,training
CCCCCC(=NOCCN)c1ccc(C)c(N)c1,1,training
CC(C)N1CCOC(c2ccc(C(F)(F)F)cc2)C1,1,training
COc1ccccc1CNC1CCCNC1c1ccccc1,1,training
CC(Cc1ccccc1)N(C)C,1,training
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1,0,training
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)C3(Cl)[C@@H](F)C[C@]2(C)C1C(=O)CO,1,training
NNC(=O)c1ccncc1,0,training
Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,0,training
CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,0,training
CC(=O)OCC/C(SC(C)=O)=C(\C)N(C=O)Cc1cnc(C)nc1N,1,training
O=c1ccc2ccccc2o1,0,training
CCOc1ccc(NC(C)=O)cc1,0,training
CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,1,training
CCOCC,1,training
CCC(=O)N(c1ccc(Cl)c(Cl)c1)C1CCCC1N(C)C,1,training
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0,training
CN(C)CCC[C@@H]1c2ccccc2COc2ccccc21,1,training
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,0,training
CCOC(=O)N1CSCC1C(=O)O,0,training
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,1,training
[CH2-]C(=O)Nc1cccc(-c2csc([N+]C(N)N)n2)c1,0,training
COCC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOC)c3csc(N)n3)C2SC1,0,training
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,training
CCCCOC(=O)C(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1,training
CCC(=O)C1(C)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3C(O)CC21C,1,training
CCC(OC(N)=O)C1CCCCC1,1,training
COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,0,training
CN1CCN(c2cc3c(nn2)Oc2ccccc2N3C)CC1,1,training
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OC)[C@H](C)[C@@H](O)[C@]1(C)O,0,training
CN1CCN(C=C2N=C3CN=C(c4ccccc4Cl)c4cc([N+](=O)[O-])ccc4N3C2=O)CC1,1,training
CNCc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCc3ccccc3)n2)cc1,1,training
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CC=C4CC(=O)CCC4[C@@H]3CC[C@@]21CC,1,training
CN1CC(NS(=O)(=O)N(C)C)CC2c3cccc4c3c(cn4C)CC21,1,training
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,0,training
CC12CC[C@@H]3[C@@H]4C=CC(=O)N[C@@H]4CC[C@@H]3[C@H]1CCC2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F,0,training
CN1CCCC1c1cccnc1,1,training
CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O,0,training
Cc1ccc2c(OCCN3CCC(Cc4ccc5c(c4)N(C)C(=O)CO5)CC3)cccc2n1,1,training
CC1(C)CC1C(=O)N=C(CCCCCSCC(N)C(=O)O)C(=O)O,0,training
C=C1CC2C3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1,training
Cc1cnc(C[S+]([O-])c2nc3ccccc3[nH]2)cc1OCC(F)(F)F,1,training
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CS[C@@H]12)c1csc(N)n1,0,training
O=C1CCC(c2ccccc2)(C2CCN(CC=Cc3ccccc3)CC2)C(=O)N1,1,training
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C)CC1,1,training
COc1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,1,training
COc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1,training
O=C1CC2(CCCC2)CC(=O)N1CNCC1COc2ccccc2O1,1,training
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)c(Cl)c1,1,training
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,0,training
N#C[C@H]1C[C@H]2C[C@H]2N1C(=O)C(N)C12C[C@@H]3C[C@H](CC(O)(C3)C1)C2,0,training
N[C@@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0,training
