smiles,Macrocycle_PAMPA,group
Cc1cc(NC(=O)CN2CCC3(C/C=C/CNC(=O)c4ccccc4OCC(C(C)C)NC3=O)CC2)no1,-5.979,training
Cc1c(F)cccc1NC(=O)CN1CCC2(C/C=C/CNC(=O)c3ccccc3OCC(C(C)C)NC2=O)CC1,-5.842,training
CC(C)CC1NC(=O)c2cc(Cl)ccc2OC/C=C/CC2(CCN(C(=O)c3cc(=O)n(C)c(=O)[nH]3)CC2)CNC1=O,-7.222,training
Cc1c(NC(=O)CN2CCC3(C/C=C/CNC(=O)c4ccccc4OCC(C(C)C)NC3=O)CC2)cnn1C,-7.523,training
CC(C)c1nnc(NC(=O)CN2CCC3(C/C=C/CNC(=O)c4ccccc4OCC(C(C)C)NC3=O)CC2)s1,-7.301,training
CC(C)C1COc2ccccc2C(=O)NC/C=C/CC2(CCN(CC(=O)Nc3ccc4c(c3)OCCCO4)CC2)C(=O)N1,-7.699,training
CC(C)C1COc2ccccc2C(=O)NC/C=C/CC2(CCN(CC(=O)Nc3ccc(OC(F)F)cc3)CC2)C(=O)N1,-7.699,training
COc1ccc(NC(=O)CN2CCC3(C/C=C/CNC(=O)c4ccccc4OCC(C(C)C)NC3=O)CC2)cc1Cl,-7.398,training
CCn1cc(NC(=O)CN2CCC3(C/C=C/COc4ccc(Cl)cc4C(=O)NC(CC(C)C)C(=O)NC3)CC2)c(C)n1,-6.721,training
CC(C)C1NC(=O)C(CC(N)=O)NC(=O)c2ccccc2OCCCNC(=O)C(CCCCNC(=O)c2noc3c2CCCC3)NC1=O,-7.699,training
CC(C)C1COc2ccccc2C(=O)NC(C(=O)NCCN2CCOCC2)CCC(=O)NC(C(C)C)C(=O)N1,-7.523,training
CC(C)CC1COc2ccccc2C(=O)NC(C(=O)NCCCCN(C)C)CC(=O)N2CCCC2C(=O)N1,-6.886,training
CC(C)CCN(CCCCC1NC(=O)C(C)NC(=O)CC(C(=O)N2CCC(N(C)C)C2)NC(=O)c2ccccc2OCC(C)N(C)C1=O)CCC(C)C,-7.0,training
CC(C)C1NC(=O)CCC(C(=O)N2CCC(c3ccccc3)CC2)NC(=O)c2ccccc2OCC2CCCN2C(=O)C(CCCCN)NC1=O,-7.699,training
CCN(CC)CCNC(=O)C1CCC(=O)NC(C(C)C)C(=O)NC(C(C)C)COc2ccccc2C(=O)N1,-7.046,training
CC(C)C1NC(=O)CCC(C(=O)N2CCCN(Cc3cccc(F)c3)CC2)NC(=O)c2ccccc2OCC2CCCN2C(=O)C(CCCCN)NC1=O,-7.0,training
CN1CC(=O)NC(CCCCN)C(=O)N2CCCC2COc2ccccc2C(=O)NC(C(=O)N2CCC(CCc3ccccc3)CC2)CCC1=O,-6.569,training
NCCCCC1NC(=O)C2CCCN2C(=O)CCC(C(=O)N2CCC(c3ccccc3)CC2)NC(=O)c2ccccc2OCC2CCCN2C1=O,-7.0,training
CC(C)CC1NC(=O)CCC(C(=O)NCCN2CCCCC2)NC(=O)c2ccccc2OCC(C(C)C)NC(=O)C(C(C)C)NC1=O,-7.699,training
CCN1CCCC1CNC(=O)C1CCC(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)COc2ccccc2C(=O)N1,-8.0,training
NCCCCC1NC(=O)CN(Cc2ccccc2)C(=O)CCC(C(=O)N2CCC(Cc3ccccc3)CC2)NC(=O)c2ccccc2OCC2CCCN2C1=O,-8.0,training
NCCCCC1NC(=O)C2CCCN2C(=O)CCC(C(=O)N2CCCN(Cc3ccccn3)CC2)NC(=O)c2ccccc2OCC2CCCN2C1=O,-7.222,training
Cc1csc(CCCNC(=O)C2CC(=O)N3CCCC3C(=O)NC(CC(C)C)COc3ccccc3C(=O)N2)n1,-6.638,training
Cc1csc(CCCNC(=O)C2CCC(=O)N(C)CC(=O)NCCCCC(=O)NC(C)COc3ccccc3C(=O)N2)n1,-7.222,training
COc1ccc(CCN(C)C(=O)C2CCC(=O)NC(CC(C)C)C(=O)NCCOc3ccccc3C(=O)N2)cc1OC,-7.0,training
CC1NC(=O)CC(C(=O)N2CCNC(=O)C2)NC(=O)c2ccccc2OCC2CCCN2C1=O,-7.046,training
CC(C)CC1NC(=O)CCC(C(=O)NCC2CCC3CC2C3(C)C)NC(=O)c2ccccc2OCCNC1=O,-6.222,training
CC(C)CC1NC(=O)CCC(C(=O)NC(CO)CO)NC(=O)c2ccccc2OCC(C(C)C)NC(=O)C(C(C)C)NC1=O,-7.301,training
CC(C)CC1NC(=O)CCC(C(=O)N2CC(C)OC(C)C2)NC(=O)c2ccccc2OCC(C(C)C)NC(=O)C(C(C)C)NC1=O,-6.886,training
CC(C)CC1NC(=O)CCC(C(=O)NCCOc2ccc(F)cc2)NC(=O)c2ccccc2OCC(C(C)C)NC1=O,-6.745,training
CC1CN(C(=O)C2CC(=O)NC(C)C(=O)N3CCCC3COc3ccccc3C(=O)N2)CC(C)O1,-6.638,training
CC(C)C1COc2ccccc2C(=O)NC(C(=O)NCCc2ccncc2)CCC(=O)NC(C(C)C)C(=O)N1,-7.097,training
CCN1CCN(C(=O)C2CCC(=O)NC(C(C)C)C(=O)NC(C(C)C)COc3ccccc3C(=O)N2)CC1,-6.678,training
COCC1CCCN1C(=O)C1CC(=O)NC(C(C)O)C(=O)NC(Cc2ccccc2)COc2ccccc2C(=O)N1,-6.721,training
COCC1CCCN1C(=O)C1CC(=O)N2CCCC2C(=O)NC(CC(C)C)COc2ccccc2C(=O)N1,-6.921,training
COCC1CCCN1C(=O)C1CC(=O)NC(C(C)C)C(=O)NC(CC(C)C)COc2ccccc2C(=O)N1,-6.398,training
Cc1csc(CCCNC(=O)C2CCC(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C)COc3ccccc3C(=O)N2)n1,-6.959,training
CC(C)CC1NC(=O)CCC(C(=O)NCCCN2CCCC2=O)NC(=O)c2ccccc2OCC(C(C)C)NC(=O)C(C(C)C)NC1=O,-7.398,training
COCC1CCCN1C(=O)C1CC(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)COc2ccccc2C(=O)N1,-6.027,training
COCCN(C)C(=O)C1CCC(=O)NC(CC(C)C)C(=O)NC(C(C)C)COc2ccccc2C(=O)N1,-6.347,training
CC(C)C1COc2ccccc2C(=O)NC(C(=O)NCC2(c3cccc(F)c3)CCOCC2)CCC(=O)N2CCCC2C(=O)N1,-6.959,training
CC(C)CC1COc2ccccc2C(=O)NC(C(=O)N2CC(C)OC(C)C2)CC(=O)NC(C(C)C)C(=O)N1,-6.678,training
CC(C)CC1NC(=O)CCC(C(=O)N(C)CCc2ccccc2)NC(=O)c2ccccc2OCCNC1=O,-5.733,training
CC(C)CC1NC(=O)CCC(C(=O)NCCCn2ccc(C(F)(F)F)n2)NC(=O)c2ccccc2OCC(C(C)C)NC(=O)C(C(C)C)NC1=O,-7.155,training
CC(C)CC1COc2ccccc2C(=O)NC(C(=O)NCC(C)(C)c2ccc(F)cc2)CC(=O)N2CCCC2C(=O)N1,-5.695,training
CC(C)C1COc2ccccc2C(=O)NC(C(=O)NCCOc2ccc(Cl)cc2)CCC(=O)NC(C(C)C)C(=O)N1,-7.155,training
COc1ccc(CCCNC(=O)C2CCC(=O)NC(CC(C)C)C(=O)NC(C(C)C)COc3ccccc3C(=O)N2)cc1OC,-7.155,training
CCN1CCN(C(=O)C2CC(=O)NC(C)C(=O)N3CCCC3COc3ccccc3C(=O)N2)CC1,-6.854,training
CC1CN(C(=O)C2CC(=O)NC(C(C)C)C(=O)NC(Cc3ccccc3)COc3ccccc3C(=O)N2)CC(C)O1,-5.955,training
CC(=O)N1CCCN(C(=O)C2CCC(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)COc3ccccc3C(=O)N2)CC1,-7.398,training
Cc1ccccc1OCCN(C)C(=O)C1CC(=O)NC(C(C)C)C(=O)N2CCCC2COc2ccccc2C(=O)N1,-5.526,training
CCN1CCN(C(=O)C2CCC(=O)NC(CC(C)C)C(=O)NC(C(C)C)COc3ccccc3C(=O)N2)CC1,-6.886,training
CC1COc2ccccc2C(=O)NC(C(=O)NCC(C)(C)c2ccc(F)cc2)CCC(=O)N2CCCC2C(=O)NC(C(C)C)C(=O)N1,-7.523,training
CC(C)CC1COc2ccccc2C(=O)NC(C(=O)NCC2(c3cccc(F)c3)CCOCC2)CC(=O)N2CCCC2C(=O)N1,-5.924,training
CC(C)CC1NC(=O)CCC(C(=O)N2CC(C)OC(C)C2)NC(=O)c2ccccc2OCC(C(C)C)NC1=O,-5.971,training
CC1COc2ccccc2C(=O)NC(C(=O)N2CCc3ccccc3CC2)CC(=O)NC2(CCCC2)C(=O)NC(C(C)C)C(=O)N1,-5.866,training
COCC1CCCN1C(=O)C1CC(=O)NC(C)C(=O)N2CCCC2COc2ccccc2C(=O)N1,-7.398,training
CCC(C)C1NC(=O)CC(C(=O)NC2CCC(O)CC2)NC(=O)c2ccccc2OCC(CC(C)C)NC1=O,-7.222,training
CC(C)CC1NC(=O)CCC(C(=O)N2CCC(Oc3ccc(F)cc3)CC2)NC(=O)c2ccccc2OCCNC1=O,-5.678,training
COCC1CCCN1C(=O)C1CCC(=O)N(C)CC(=O)NC(C(C)C)COc2ccccc2C(=O)N1,-5.77,training
COc1ccc(OCCNC(=O)C2CCC(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)COc3ccccc3C(=O)N2)cc1,-8.0,training
CCN1CC(=O)NC(C(C)C)COc2ccccc2C(=O)NC(C(=O)N2CCCC2COC)CCC1=O,-5.469,training
COCC1CCCN1C(=O)C1CCC(=O)NC(Cc2ccccc2)C(=O)NC(C(C)C)COc2ccccc2C(=O)N1,-5.47,training
CC(C)C1COc2ccccc2C(=O)NC(C(=O)NCCc2ccc(F)cc2)CCC(=O)N2CCCC2C(=O)N1,-6.553,training
CC(C)CC1COc2ccccc2C(=O)NC(C(=O)NCCCN(C)C)CC(=O)NC(C(C)C)C(=O)N1,-6.824,training
CC1CN(C(=O)C2CC(=O)NC(C(C)O)C(=O)N3CCCC3COc3ccccc3C(=O)N2)CC(C)O1,-6.824,training
CCOc1ccc(CCCNC(=O)C2CC(=O)N3CCCC3C(=O)NC(CC(C)C)COc3ccccc3C(=O)N2)cc1OC,-6.208,training
CCC(C)C1NC(=O)CC(C(=O)NCC(O)c2ccccc2)NC(=O)c2ccccc2OCC(CC(C)C)NC1=O,-6.602,training
COCC1CCCN1C(=O)C1CC(=O)NC(C(C)O)C(=O)N2CCCC2COc2ccccc2C(=O)N1,-7.222,training
COc1cccc(CCCNC(=O)C2CC(=O)N3CCCC3C(=O)NC(CC(C)C)COc3ccccc3C(=O)N2)c1,-6.745,training
CC(C)C1NC(=O)CC(C(=O)N(C)CCOc2ccc(Cl)cc2)NC(=O)c2ccccc2OCC2CCCN2C1=O,-5.577,training
CCC(C)C1NC(=O)CC(C(=O)NCCOc2ccc(F)cc2)NC(=O)c2ccccc2OCC(CC(C)C)NC1=O,-5.924,training
CC(C)CC1COc2ccccc2C(=O)NC(C(=O)NCC2CC2)CC(=O)NC(C(C)C)C(=O)N1,-7.398,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)CN3CCCCC3)CC2)C(=O)N1,-4.952,training
CC(C)CC1COc2ccccc2CCCCC2(CCNCC2)C(=O)N1,-5.936,training
CC(C)CCN1CCC2(CCCCc3ccccc3OCC(CC(C)C)NC2=O)CC1,-5.441,training
CCCCCN1CCC2(CCCCc3ccccc3OCC(CC(C)C)NC2=O)CC1,-5.503,training
CC(C)CC1COc2ccccc2CCCCC2(CCN(CCC(C)(C)C)CC2)C(=O)N1,-5.577,training
COc1ccc(CN2CCC3(CCCCc4ccccc4OCC(CC(C)C)NC3=O)CC2)cc1,-5.745,training
CC(C)CC1COc2ccccc2CCCCC2(CCN(CC(C)C)CC2)C(=O)N1,-5.801,training
CC(C)CC1COc2ccccc2CCCCC2(CCN(Cc3ccccc3)CC2)C(=O)N1,-5.987,training
CCOc1ccccc1CN1CCC2(CCCCc3ccccc3OCC(CC(C)C)NC2=O)CC1,-6.041,training
CCOc1ccc(CN2CCC3(CCCCc4ccccc4OCC(CC(C)C)NC3=O)CC2)cc1,-6.553,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)c3cc[nH]n3)CC2)C(=O)N1,-5.745,training
COCCC(=O)N1CCC2(CCCCc3ccccc3OCC(C)NC2=O)CC1,-5.344,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)c3ccnc(N)c3)CC2)C(=O)N1,-5.495,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3ccc(Cl)cc3)CC2)C(=O)N1,-5.339,training
COCC(=O)N1CCC2(CCCCc3ccccc3OCC(C)NC2=O)CC1,-5.265,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)c3cn(C)cn3)CC2)C(=O)N1,-5.405,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)Cc3cn(C)c4ccccc34)CC2)C(=O)N1,-5.529,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)c3csc(N)n3)CC2)C(=O)N1,-5.863,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3ccncn3)CC2)C(=O)N1,-5.516,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)COc3ccc(Cl)cc3)CC2)C(=O)N1,-5.299,training
CC(=O)N1CCC2(CCCCCc3ccccc3OCC(CC(C)C)NC2=O)CC1,-5.156,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3cccc4[nH]ccc34)CC2)C(=O)N1,-5.75,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)c3ncccn3)CC2)C(=O)N1,-5.159,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)Cn3cccn3)CC2)C(=O)N1,-5.169,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)C3Cc4ccccc4C3)CC2)C(=O)N1,-5.506,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3n[nH]c4ccccc34)CC2)C(=O)N1,-5.947,training
Cc1cc(C(=O)N2CCC3(CCCCc4ccccc4OCC(C)NC3=O)CC2)nn1C,-5.457,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)C3CCCCC3)CC2)C(=O)N1,-5.151,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3ccccc3F)CC2)C(=O)N1,-5.115,training
Cc1noc(C)c1C(=O)N1CCC2(CCCCc3ccccc3OCC(C)NC2=O)CC1,-5.26,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3ccc(C(F)(F)F)cc3)CC2)C(=O)N1,-5.759,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3ccnn3C)CC2)C(=O)N1,-5.134,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)Cc3cccnc3)CC2)C(=O)N1,-5.886,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)CN3CCOCC3)CC2)C(=O)N1,-5.839,training
COc1ncccc1C(=O)N1CCC2(CCCCc3ccccc3OCC(C)NC2=O)CC1,-5.03,training
CCC(=O)N1CCC2(CCCCc3ccccc3OCC(C)NC2=O)CC1,-4.915,training
Cc1ncsc1C(=O)N1CCC2(CCCCc3ccccc3OCC(C)NC2=O)CC1,-4.899,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3ccc4cc[nH]c4c3)CC2)C(=O)N1,-6.409,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3cnc(N)s3)CC2)C(=O)N1,-5.208,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)CCC(F)(F)F)CC2)C(=O)N1,-4.858,training
CC1COc2ccccc2CCCCC2(CCN(C(=O)c3nccnc3N)CC2)C(=O)N1,-5.328,training
COc1cc(C(=O)N2CCC3(CCCCc4ccccc4OCC(C)NC3=O)CC2)ccn1,-4.906,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)c3ccc4[nH]cnc4c3)CC2)C(=O)N1,-6.409,training
CC(C)CC1COc2ccccc2CCCCCC2(CCN(C(=O)c3ccc(F)cc3)CC2)C(=O)N1,-6.222,training
CC(C)N1CCC(C(=O)N2CCC3(CCCCCCOc4ccccc4C(=O)NC3)CC2)CC1,-5.654,training
CC1CCN(CC(=O)N2CCC3(CCCCCOc4ccccc4C(=O)NC3)CC2)CC1,-5.173,training
CC1CCN(CC(=O)N2CCC3(CCCCCCOc4ccccc4C(=O)NC3)CC2)CC1,-5.114,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)CN1CCCCCC1=O)C2,-5.664,training
Cc1nn(C)cc1C(=O)N1CCCC2(CCCCCOc3ccccc3C(=O)NC2)C1,-6.143,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)CCc1ccc(F)cc1)C2,-5.577,training
CCc1noc(CCC(=O)N2CCC3(CCCCCCOc4ccccc4C(=O)NC3)CC2)n1,-5.253,training
CCn1nc(C(C)C)cc1C(=O)N1CCCC2(CCCCCOc3ccccc3C(=O)NC2)C1,-5.24,training
CC(C)c1cc(C(=O)N2CCC3(CCCCCOc4ccccc4C(=O)NC3)CC2)on1,-5.572,training
O=C1NCC2(CCCCCOc3ccccc31)CCN(C(=O)c1cncs1)CC2,-5.215,training
Cc1noc(C)c1CCC(=O)N1CCC2(CCCCCOc3ccccc3C(=O)NC2)CC1,-5.215,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)COc1ccccc1F)C2,-5.411,training
O=C1NCC2(CCCCCOc3ccccc31)CCN(C(=O)CCCn1cccn1)CC2,-5.32,training
CCn1nc(C(=O)N2CCC3(CCCCCCOc4ccccc4C(=O)NC3)CC2)cc1C,-5.357,training
Cc1ccccc1CC(=O)N1CCCC2(CCCCCOc3ccccc3C(=O)NC2)C1,-5.399,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)c1cccc(Cl)c1)C2,-5.633,training
Cc1n[nH]c(C)c1CCC(=O)N1CCC2(CCCCCOc3ccccc3C(=O)NC2)CC1,-5.921,training
CC(C)Cc1cc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)n(C)n1,-5.327,training
CCn1nc(C(C)C)cc1C(=O)N1CCC2(CCCCCOc3ccccc3C(=O)NC2)CC1,-5.184,training
CN(C)CC(=O)N1CCC2(CCCCCOc3ccccc3C(=O)NC2)CC1,-6.046,training
Cc1nc(CC(=O)N2CCC3(CCCCCOc4ccccc4C(=O)NC3)CC2)cs1,-5.113,training
CC(C)Cc1cc(C(=O)N2CCC3(CCCCCOc4ccccc4C(=O)NC3)CC2)n(C)n1,-5.382,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)c1cncnc1)C2,-5.815,training
COc1cccc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)c1,-5.358,training
Cc1ncsc1C(=O)N1CCC2(CCCCCCOc3ccccc3C(=O)NC2)CC1,-5.141,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)c1ccc(F)c(Cl)c1)C2,-5.521,training
COCc1cccc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)c1,-5.274,training
CCn1cc(C(=O)N2CCC3(CCCCCCOc4ccccc4C(=O)NC3)CC2)cn1,-5.269,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)Cc1ccc(F)cc1)C2,-5.513,training
Cc1ccnn1CCC(=O)N1CCC2(CCCCCCOc3ccccc3C(=O)NC2)CC1,-5.166,training
Cc1cc(C)n(CC(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)n1,-5.45,training
CCc1noc(C)c1C(=O)N1CCC2(CCCCCCOc3ccccc3C(=O)NC2)CC1,-5.348,training
O=C1NCC2(CCCCCCOc3ccccc31)CCN(C(=O)c1cncs1)CC2,-5.164,training
O=C1NCC2(CCCCCCOc3ccccc31)CCN(C(=O)Cn1ccc(C(F)(F)F)n1)CC2,-5.807,training
COCCC(=O)N1CCCC2(CCCCCOc3ccccc3C(=O)NC2)C1,-5.133,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)c1cc(F)cc(F)c1)C2,-5.312,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)c1c(F)cccc1F)C2,-5.216,training
CC(C)(C)c1cc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)[nH]n1,-5.239,training
CCc1cc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)on1,-5.119,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)c1cnccn1)C2,-5.264,training
CS(=O)(=O)NCC(=O)N1CCC2(CCCCCCOc3ccccc3C(=O)NC2)CC1,-6.229,training
O=C1NCC2(CCCCCOc3ccccc31)CCN(C(=O)CC1CC1)CC2,-5.001,training
Cc1noc(C)c1C(=O)N1CCCC2(CCCCCOc3ccccc3C(=O)NC2)C1,-5.178,training
CC(C)c1cc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)on1,-5.326,training
Cc1cc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)no1,-5.038,training
Cc1ncsc1C(=O)N1CCCC2(CCCCCOc3ccccc3C(=O)NC2)C1,-5.239,training
Cc1nn(C)cc1C(=O)N1CCC2(CCCCCOc3ccccc3C(=O)NC2)CC1,-5.983,training
Cc1cnn(CC(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)c1,-5.19,training
Cc1nn(C)cc1C(=O)N1CCC2(CCCCCCOc3ccccc3C(=O)NC2)CC1,-5.312,training
Cc1onc(C(C)C)c1C(=O)N1CCCC2(CCCCCOc3ccccc3C(=O)NC2)C1,-5.137,training
CCc1noc(CCC(=O)N2CCC3(CCCCCOc4ccccc4C(=O)NC3)CC2)n1,-4.961,training
COC(C)(C)C(=O)N1CCC2(CCCCCOc3ccccc3C(=O)NC2)CC1,-4.945,training
O=C1NCC2(CCCCCOc3ccccc31)CCCN(C(=O)CC1CC1)C2,-4.851,training
CCn1nc(C(C)C)cc1C(=O)N1CCC2(CCCCCCOc3ccccc3C(=O)NC2)CC1,-6.108,training
CC(C)Cc1cc(C(=O)N2CCC3(CCCCCCOc4ccccc4C(=O)NC3)CC2)n(C)n1,-6.208,training
CC(C)CC1NC(=O)CCC(C(=O)N2CC(C)OC(C)C2)NC(=O)c2ccccc2OCCNC1=O,-6.745,training
COCC1CCCN1C(=O)C1CC(=O)NC(CC(C)C)C(=O)NCCCOc2ccccc2C(=O)N1,-6.538,training
COCC1CCCN1C(=O)C1CCC(=O)NC(C(C)C)C(=O)NCCCOc2ccccc2C(=O)N1,-6.62,training
CC1CN(C(=O)C2CC(=O)NC(C(C)O)C(=O)NCCCOc3ccccc3C(=O)N2)CC(C)O1,-7.301,training
CC(C)CC1NC(=O)CC(C(=O)N2CC(C)OC(C)C2)NC(=O)c2ccccc2OCCCNC1=O,-7.0,training
CC1CN(C(=O)C2CC(=O)NC(C(C)C)C(=O)NCCCOc3ccccc3C(=O)N2)CC(C)O1,-7.0,training
COCC1CCCN1C(=O)C1CC(=O)NC(C(C)O)C(=O)NCCCOc2ccccc2C(=O)N1,-6.602,training
CC(C)CC1NC(=O)CC(C(=O)N2CCCC2)NC(=O)c2ccccc2OCCNC1=O,-7.155,training
COc1cccc(CN2CCN(C(=O)C3CC(=O)NC(CC(C)C)C(=O)NCCOc4ccccc4C(=O)N3)CC2)c1,-7.046,training
COCC1CCCN1C(=O)C1CC(=O)NC(C(C)C)C(=O)NCCCOc2ccccc2C(=O)N1,-7.222,training
CC(C)C1NC(=O)CC(C(=O)N2CC(O)C2)NC(=O)c2ccccc2OCCNC1=O,-6.509,training
CC(C)CC1NC(=O)CC(C(=O)N2CCc3ccccc3CC2)NC(=O)c2ccccc2OCCCNC1=O,-5.668,training
CC(=O)N1CCCN(C(=O)C2CC(=O)NC(Cc3ccccc3)C(=O)NCCOc3ccccc3C(=O)N2)CC1,-7.699,training
CC1CN(C(=O)C2CC(=O)NC(C)C(=O)NCCCOc3ccccc3C(=O)N2)CC(C)O1,-7.523,training
CC(C)CC1NC(=O)CCC(C(=O)N2CCC(O)CC2)NC(=O)c2ccccc2OCCNC1=O,-8.0,training
CC1CN(C(=O)C2CC(=O)NC(CO)C(=O)NCCOc3ccccc3C(=O)N2)CC(C)O1,-8.0,training
CN1CCCN(C(=O)C2CC(=O)NC(Cc3ccccc3)C(=O)N(C)CCOc3ccccc3C(=O)N2)CC1,-6.959,training
CCC(C)C1NC(=O)CC(C(=O)N2CCCN(C)CC2)NC(=O)c2ccccc2OCCN(C)C1=O,-6.824,training
CN1CCCN(C(=O)C2CCC(=O)N3CCCC3C(=O)N(C)CCOc3ccccc3C(=O)N2)CC1,-6.469,training
CC(C)CC1NC(=O)CC(C(=O)N2CCCN(C)CC2)NC(=O)c2ccccc2OCCN(C)C1=O,-7.097,training
CC(C)CC1COc2ccccc2C(=O)NC(C(=O)N2CCCN(C)CC2)CC(=O)NC(C(C)C)C(=O)N1,-7.155,training
CC(C)C1NC(=O)CC(C(=O)N2CCCN(C)CC2)NC(=O)c2ccccc2OCCN(C)C1=O,-7.523,training
CC(C)CC1NC(=O)CCC(C(=O)N2CCCN(C)CC2)NC(=O)c2ccccc2OCCN(C)C1=O,-7.699,training
